order_id,order_date,year,month,customer_id,customer_age,customer_city,region,category,product_name,quantity,unit_price_inr,discount_pct,net_revenue_inr,payment_method,order_status,delivery_days,return_reason
ORD-2081,2023-01-03,2023,January,CUST-701,37,Nagpur,West,Toys & Games,Lego Set (200 pcs),3,7479.56,10,20194.81,COD,Delivered,12,
ORD-2012,2023-01-04,2023,January,CUST-612,34,Pune,West,Toys & Games,Remote Control Car,3,3533.65,25,7950.71,UPI,Cancelled,,
ORD-2650,2023-01-04,2023,January,CUST-412,58,Lucknow,North,Home & Kitchen,Coffee Maker,6,3601.9,0,21611.4,Debit Card,Delivered,4,
ORD-2188,2023-01-07,2023,January,CUST-557,33,Lucknow,North,Electronics,Power Bank,2,3870.89,5,7354.69,Debit Card,Delivered,7,
ORD-2228,2023-01-07,2023,January,CUST-489,57,Guwahati,East,Clothing,Winter Jacket,4,944.08,10,3398.69,Debit Card,Delivered,6,
ORD-2463,2023-01-07,2023,January,CUST-422,31,Bhopal,Central,Electronics,Bluetooth Speaker,5,1166.18,10,5247.81,Credit Card,Delivered,4,
ORD-2694,2023-01-07,2023,January,CUST-393,39,Chennai,South,Clothing,Formal Shirt,2,3567.96,20,5708.74,COD,Delivered,8,
ORD-2805,2023-01-07,2023,January,CUST-199,18,Surat,West,Toys & Games,Board Game - Strategy,6,3242.96,10,17511.98,Credit Card,Delivered,8,
ORD-2852,2023-01-08,2023,January,CUST-819,45,Bhopal,Central,Home & Kitchen,Rice Cooker,4,208.81,5,793.48,COD,Cancelled,,
ORD-2858,2023-01-08,2023,January,CUST-331,34,Raipur,Central,Books,Python Crash Course,4,1077.36,25,3232.08,Net Banking,Delivered,11,
ORD-2442,2023-01-09,2023,January,CUST-115,27,Amritsar,North,Electronics,USB-C Hub,3,1086.81,25,2445.32,Net Banking,Delivered,2,
ORD-2809,2023-01-10,2023,January,CUST-781,18,Madurai,South,Electronics,Smart Watch,4,5414.16,0,21656.64,COD,Delivered,5,
ORD-2997,2023-01-12,2023,January,CUST-766,59,Bengaluru,South,Toys & Games,Puzzle (1000 pcs),3,3709.95,20,8903.88,Wallet,Returned,5,Defective product
ORD-2543,2023-01-13,2023,January,CUST-794,42,Ranchi,East,Beauty,Body Lotion,2,4289.49,20,6863.18,Debit Card,Delivered,8,
ORD-2367,2023-01-14,2023,January,CUST-307,34,Siliguri,East,Electronics,Power Bank,6,2568.97,0,15413.82,COD,Cancelled,,
ORD-2972,2023-01-14,2023,January,CUST-538,48,Hyderabad,South,Beauty,Hair Serum,3,7207.97,0,21623.91,Debit Card,Cancelled,,
ORD-2096,2023-01-15,2023,January,CUST-565,25,Vizag,South,Electronics,USB-C Hub,5,2988.62,20,11954.48,Debit Card,Delivered,9,
ORD-2266,2023-01-15,2023,January,CUST-161,20,Madurai,South,Clothing,Ankle Socks (Pack of 6),1,230.85,0,230.85,Net Banking,Delivered,4,
ORD-2335,2023-01-15,2023,January,CUST-118,30,Delhi,North,Home & Kitchen,Toaster,5,1674.37,15,7116.07,Wallet,Delivered,9,
ORD-2560,2023-01-15,2023,January,CUST-414,21,Bhopal,Central,Electronics,Mechanical Keyboard,2,5639.24,0,11278.48,Credit Card,Delivered,11,
ORD-2783,2023-01-15,2023,January,CUST-325,22,Kochi,South,Books,Atomic Habits,1,225.7,0,225.7,Credit Card,Delivered,4,
ORD-2516,2023-01-16,2023,January,CUST-311,24,Amritsar,North,Toys & Games,Puzzle (1000 pcs),2,1343.22,0,2686.44,COD,Returned,9,Quality not as expected
ORD-2219,2023-01-17,2023,January,CUST-870,27,Mumbai,West,Electronics,Smartphone Case,2,7436.25,15,12641.62,Wallet,Delivered,10,
ORD-2608,2023-01-18,2023,January,CUST-807,37,Cuttack,East,Beauty,Hair Serum,1,1019.87,0,1019.87,Debit Card,Delivered,6,
ORD-2636,2023-01-20,2023,January,CUST-690,29,Indore,West,Home & Kitchen,Toaster,6,6130.19,0,36781.14,Net Banking,Returned,12,Quality not as expected
ORD-2397,2023-01-23,2023,January,CUST-687,26,Guwahati,East,Home & Kitchen,Rice Cooker,5,1372.85,20,5491.4,COD,Delivered,1,
ORD-2826,2023-01-23,2023,January,CUST-794,45,Madurai,South,Beauty,Moisturiser SPF50,6,3194.28,0,19165.68,Net Banking,Returned,7,Changed mind
ORD-2278,2023-01-25,2023,January,CUST-751,40,Raipur,Central,Toys & Games,Board Game - Strategy,2,149.39,20,239.02,Wallet,Delivered,9,
ORD-2909,2023-01-25,2023,January,CUST-138,55,Nagpur,West,Beauty,Hair Serum,6,4077.27,0,24463.62,Debit Card,Returned,7,Better price elsewhere
ORD-2493,2023-01-26,2023,January,CUST-829,55,Raipur,Central,Toys & Games,Building Blocks,4,3366.12,25,10098.36,UPI,Delivered,8,
ORD-2759,2023-01-26,2023,January,CUST-371,32,Varanasi,East,Home & Kitchen,Toaster,4,2603.46,20,8331.07,Wallet,Delivered,8,
ORD-2993,2023-01-26,2023,January,CUST-156,43,Bhopal,Central,Books,Python Crash Course,2,1712.92,25,2569.38,Credit Card,Delivered,8,
ORD-2073,2023-01-27,2023,January,CUST-701,54,Bhopal,Central,Home & Kitchen,Air Fryer,4,5901.82,10,21246.55,Credit Card,Delivered,4,
ORD-2154,2023-01-27,2023,January,CUST-611,29,Varanasi,East,Sports,Cycling Gloves,6,2300.65,0,13803.9,COD,Cancelled,,
ORD-2485,2023-01-27,2023,January,CUST-731,57,Ahmedabad,West,Clothing,Sports Shorts,2,942.49,0,1884.98,Debit Card,Cancelled,,
ORD-2239,2023-01-30,2023,January,CUST-302,57,Hyderabad,South,Books,Deep Work,6,5291.73,20,25400.3,Net Banking,Cancelled,,
ORD-2601,2023-01-30,2023,January,CUST-168,49,Amritsar,North,Beauty,Makeup Brush Set,4,1516.04,5,5760.95,COD,Delivered,5,
ORD-2640,2023-01-30,2023,January,CUST-280,53,Kolkata,East,Sports,Foam Roller,2,1357.93,0,2715.86,Wallet,Delivered,5,
ORD-2484,2023-01-31,2023,January,CUST-523,38,Chandigarh,North,Books,Atomic Habits,2,2608.02,0,5216.04,Net Banking,Cancelled,,
ORD-2768,2023-02-02,2023,February,CUST-600,56,Pune,West,Sports,Skipping Rope,2,923.07,0,1846.14,Credit Card,Cancelled,,
ORD-2100,2023-02-03,2023,February,CUST-322,41,Bhubaneswar,East,Beauty,Face Wash,4,4962.65,10,17865.54,Net Banking,Cancelled,,
ORD-2499,2023-02-03,2023,February,CUST-717,54,Bengaluru,South,Electronics,USB-C Hub,6,2856.26,0,17137.56,Debit Card,Cancelled,,
ORD-2708,2023-02-03,2023,February,CUST-672,28,Bhopal,Central,Books,Zero to One,6,1778.88,25,8004.96,Debit Card,Cancelled,,
ORD-2534,2023-02-04,2023,February,CUST-821,48,Coimbatore,South,Sports,Skipping Rope,4,7418.86,15,25224.12,Debit Card,Delivered,10,
ORD-2152,2023-02-05,2023,February,CUST-897,33,Ahmedabad,West,Beauty,Body Lotion,1,1226.96,25,920.22,Wallet,Delivered,2,
ORD-2663,2023-02-06,2023,February,CUST-822,28,Jaipur,North,Beauty,Makeup Brush Set,2,530.08,0,1060.16,Net Banking,Delivered,5,
ORD-2559,2023-02-07,2023,February,CUST-600,27,Raipur,Central,Sports,Skipping Rope,6,4675.83,0,28054.98,Wallet,Cancelled,,
ORD-2926,2023-02-07,2023,February,CUST-530,30,Patna,East,Beauty,Moisturiser SPF50,6,3648.7,0,21892.2,Wallet,Delivered,12,
ORD-2377,2023-02-08,2023,February,CUST-282,21,Lucknow,North,Beauty,Body Lotion,1,3726.88,15,3167.85,Debit Card,Delivered,2,
ORD-2552,2023-02-08,2023,February,CUST-372,42,Kolkata,East,Beauty,Sunscreen Spray,4,1274.95,0,5099.8,UPI,Cancelled,,
